11	1
12	2
13	3
14	4
15	5
16	6
17	7
18	8
19	9
20	10
21	11
10	12
9	13
8	14
7	15
6	16
5	17
4	18
3	19
2	20
1	21
50	22
39	23
40	24
41	25
42	26
43	27
44	28
45	29
46	30
47	31
48	32
49	33
38	34
37	35
36	36
35	37
34	38
33	39
32	40
31	41
30	42
29	43
28	44
67	45
68	46
69	47
70	48
71	49
72	50
73	51
74	52
75	53
26	54
27	55
66	56
65	57
64	58
63	59
62	60
61	61
60	62
59	63
58	64
57	65
56	66
95	67
96	68
97	69
98	70
99	71
100	72
51	73
52	74
53	75
54	76
55	77
94	78
93	79
92	80
91	81
90	82
89	83
88	84
87	85
86	86
85	87
84	88
123	89
124	90
125	91
76	92
77	93
78	94
79	95
80	96
81	97
82	98
83	99
122	100
121	101
120	102
119	103
118	104
117	105
116	106
115	107
114	108
113	109
112	110
101	111
102	112
103	113
104	114
105	115
106	116
107	117
108	118
109	119
110	120
111	121
22	122
23	123
24	124
25	125
